ProbeID,DonorID,Label
Au_nat_10153,Au_nat_30154,0
Au_pla_20092,Au_pla_00029,0
Au_art_20015,Au_art_30494,0
Au_cha_20015,Au_cha_20039,0
Au_art_00072,Au_art_30407,0
Au_pla_30591,Au_pla_30086,0
Au_arc_30764,Au_arc_00022,0
Au_ani_30490,Au_ani_10156,0
Au_art_20009,Au_art_00033,0
Au_art_30329,Au_art_20063,0
Au_cha_10126,Au_cha_30261,0
Au_arc_30005,Au_arc_30700,0
Au_arc_30685,Au_arc_30364,0
Au_txt_00045,Au_txt_10101,0
Au_cha_10143,Au_cha_30332,0
Au_cha_30047,Au_cha_10182,0
Au_art_30110,Au_art_30039,0
Au_sec_00057,Au_sec_00062,0
Au_ani_30297,Au_ani_30752,0
Au_pla_30596,Au_pla_30738,0
Au_art_30361,Au_art_30277,0
Au_sec_30536,Au_sec_30338,0
Au_cha_30051,Au_cha_10145,0
Au_nat_30403,Au_nat_00030,0
Au_pla_30392,Au_pla_30057,0
Au_art_30377,Au_art_30598,0
Au_ani_30046,Au_ani_00004,0
Au_pla_00041,Au_pla_30639,0
Au_arc_00036,Au_arc_20073,0
Au_pla_30093,Au_pla_30014,0
Au_ani_10121,Au_ani_30762,0
Au_sec_30655,Au_sec_30519,0
Au_art_30434,Au_art_30496,0
Au_art_30435,Au_art_30156,0
Au_art_30526,Au_art_30088,0
Au_ani_20043,Au_ani_30331,0
Au_cha_30124,Au_cha_30526,0
Au_sec_30440,Au_sec_30342,0
Au_nat_30552,Au_nat_30501,0
Au_ani_00004,Au_ani_00040,0
Au_pla_30056,Au_pla_30432,0
Au_nat_30547,Au_nat_30573,0
Au_txt_30022,Au_txt_00082,0
Au_ind_00054,Au_ind_30089,0
Au_pla_00013,Au_pla_30132,0
Au_pla_30679,Au_pla_30449,0
Au_art_30548,Au_art_30247,0
Au_art_30286,Au_art_30359,0
Au_art_30197,Au_art_30002,0
Au_nat_30165,Au_nat_30502,0
Au_nat_30518,Au_nat_30351,0
Au_art_30015,Au_art_30466,0
Au_art_30611,Au_art_30352,0
Au_sec_20098,Au_sec_30146,0
Au_ani_10153,Au_ani_20019,0
Au_ani_30672,Au_ani_30671,0
Au_ani_30195,Au_ani_30252,0
Au_sec_00002,Au_sec_30382,0
Au_arc_30695,Au_arc_30816,0
Au_sec_30096,Au_sec_10112,0
Au_ani_30618,Au_ani_00029,0
Au_arc_30507,Au_arc_20044,0
Au_nat_30435,Au_nat_30731,0
Au_cha_30355,Au_cha_30141,0
Au_art_30077,Au_art_30569,0
Au_cha_10201,Au_cha_30086,0
Au_arc_30513,Au_arc_30764,0
Au_pla_30276,Au_pla_20042,0
Au_nat_30095,Au_nat_00007,0
Au_arc_30369,Au_arc_00048,0
Au_ani_30053,Au_ani_30151,0
Au_nat_00035,Au_nat_30227,0
Au_arc_30051,Au_arc_30665,0
Au_ani_00055,Au_ani_30194,0
Au_ani_30150,Au_ani_30596,0
Au_arc_30474,Au_arc_30027,0
Au_arc_00045,Au_arc_30539,0
Au_ani_30024,Au_ani_10205,0
Au_cha_30422,Au_cha_30469,0
Au_arc_20021,Au_arc_30459,0
Au_pla_30076,Au_pla_30183,0
Au_ani_30432,Au_ani_30635,0
Au_txt_00002,Au_txt_00020,0
Au_ani_20057,Au_ani_30340,0
Au_nat_30300,Au_nat_30713,0
Au_ani_10117,Au_ani_30086,0
Au_nat_30718,Au_nat_30650,0
Au_art_00012,Au_art_30233,0
Au_ind_30160,Au_ind_20059,0
Au_cha_30690,Au_cha_30468,0
Au_ind_30159,Au_ind_30174,0
Au_arc_00013,Au_arc_30819,0
Au_nat_30669,Au_nat_30033,0
Au_ani_30723,Au_ani_30108,0
Au_pla_30678,Au_pla_30457,0
